City,Average Weekly Workplace Earnings 2012  (£),Average Weekly Workplace Earnings 2013  (£),Average Weekly Workplace Earnings 2014  (£),Average Weekly Workplace Earnings 2015  (£),Average Weekly Workplace Earnings 2016  (£),Average Weekly Workplace Earnings 2017  (£),CO2 Emissions per Capita 2005  (tons),CO2 Emissions per Capita 2006  (tons),CO2 Emissions per Capita 2007  (tons),CO2 Emissions per Capita 2008  (tons),CO2 Emissions per Capita 2009  (tons),CO2 Emissions per Capita 2010  (tons),CO2 Emissions per Capita 2011  (tons),CO2 Emissions per Capita 2012  (tons),CO2 Emissions per Capita 2013  (tons),CO2 Emissions per Capita 2014  (tons),CO2 Emissions per Capita 2015  (tons),Employment Rate 2012  (%),Employment Rate 2013  (%),Employment Rate 2014  (%),Employment Rate 2015  (%),Employment Rate 2016  (%),Employment Rate 2017  (%),Housing stock 2015,Housing stock 2016,Mean house price  2014  (£),Mean house price  2015  (£),Mean house price  2016  (£),Mean house price  2017  (£),Other Private Services 2010  (%),Other Private Services 2011  (%),Other Private Services 2012  (%),People Born Outside the UK 2001  (%),People Born Outside the UK 2011  (%),People who Work from Home 2001  (%),People who Work from Home 2011  (%),Population 2006,Population 2007,Population 2008,Population 2009,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016
Aberdeen,574.7,589,623.8,615,602.7,596.6,8.6631275,8.6636112,8.2782658,8.2318354,7.3104337,7.5439255,6.9865787,7.30174,6.9275067,6.1379551,5.7963097,76.3,75.1,76.3,76.2,75.33,73.57,114234,115080,213683.6765,220795.7395,203734.288,199931.454,33.78041,33.59429,34.67058,6.669985568,15.91926138,,,209600,212500,214000,217000,219700,222500,224900,227100,228900,230400,229800
Aldershot,600.9,568.9,596.6,592.5,564.9,588.3,7.5829406,7.6506434,7.4472179,7.5196828,6.7958764,6.9608425,6.3141851,6.525709,6.3187285,5.5356018,5.3522852,78.1,71.2,77.9,83.4,83.83,78.25,73940,74370,302733.5712,328570.4755,363686.7,386147.5,45.69882,48.32263,48.80762,9.121901671,15.50199777,9.52350074,11.15298527,174300,176100,176900,177700,179200,180700,181500,181900,182800,183400,184700
Barnsley,426.2,435.4,451.8,461.2,448.1,453.2,8.6361858,8.7276511,7.8509282,7.798001,6.9012358,7.2838132,6.5850553,6.9274145,6.9912977,5.6349092,5.3790443,66.8,68.9,72.4,73.3,71.1,71.14,107830,108530,126870.8695,123452.152,125480.4,126183.7,36.80468,38.81633,36.82859,1.731127273,3.374693475,7.409535397,7.670473745,224400,226000,227800,229000,230100,231900,233700,235800,237800,239300,241200
Basildon,474.3,506.1,477.6,514.4,516.5,501.2,6.7708156,6.7083674,6.728959,6.3915235,5.669746,5.9604114,5.2984734,5.6623834,5.3662843,4.5961581,4.4519135,76.7,68.4,74.3,76.9,77.16,70.96,76120,76940,243726.346,261855.8893,304243.4,314488.3,43.7812,43.9719,44.55713,4.337984983,7.197258406,7.010144909,7.809074043,170000,170900,172400,173100,173800,175000,176500,178400,180500,181700,183400
Belfast, , ,459.5,488.1,502.8,513.5,7.1107011,7.329358,7.442331,7.2440118,6.7065373,6.9764309,6.3429227,6.4567261,6.4554349,6.1148932,5.3597826, , ,68.397,66.2006,68,70.89,212402,214132, , , , , , , ,4.299858807,7.206070427,5.512411049,7.957549824,454200,456600,460600,464100,467400,469200,470300,471900,475500,479100,480800
Birkenhead,372.6,394.6,422.2,428,425.5,428,6.2038392,6.1127937,6.0013599,5.7878556,5.1462967,5.3407328,4.6774994,4.9959536,4.8718114,4.1596906,4.1298187,68.6,70.9,67.7,67.4,69.74,71.3,146810,147300,167115.7523,166294.5655,172426.1,180858,39.27745,38.27414,39.90947,3.189775809,4.043366908,7.103807844,8.291347755,315400,315700,316700,317800,319100,319800,320200,320300,320900,320900,321200
Birmingham,466.2,475,461.4,482.3,506.5,527.2,6.8250698,6.7653195,6.5387858,6.353623,5.5747351,5.7827427,5.2785586,5.484199,5.3156452,4.6773406,4.4208317,62.2,63.2,64,64.3,64.23,66.69,1007070,1013140,169422.5889,174029.0018,179996.1,190984.4,39.14079,39.73425,41.1553,11.29223183,15.99127919,7.568093598,7.632824287,2325900,2340300,2360900,2379700,2400300,2422800,2439600,2453700,2470900,2488200,2512000
Blackburn,446.4,477.6,458.4,473.7,481.1,488.3,8.1046449,8.0889627,7.8162503,7.9944964,6.8923692,7.2329419,6.0752955,5.6853628,5.4123562,4.7254221,4.426234,61,64.6,62.5,65.6,65.31,64.51,60290,60380,118449.8859,118872.4309,119221.8,123941.3,37.3606,37.42419,37.31472,10.8649789,14.77669521,8.130157189,8.145663632,143100,143900,144900,146200,147000,147700,147700,147400,146700,146800,147000
Blackpool,419.7,430.9,491.6,494.9,502,500.3,6.9917851,7.0127547,6.7413106,6.9372646,6.3204033,6.641592,5.9023523,5.9149806,5.6988695,5.0794616,4.784336,70,71.1,68.8,68.7,75.16,73.96,107540,108100,148028.5202,147795.1044,148399.2,158178.7,37.1442,37.60318,37.99585,3.666080403,5.269440185,10.11885852,10.66205214,218600,218900,218200,218000,218400,218200,218000,217800,217500,216900,217200
Bournemouth,442,453.8,455.4,467.9,479.8,502.5,6.3557736,6.2659521,6.0505109,5.9705687,5.390004,5.468511,4.8890769,5.125216,4.9085544,4.199444,4.0785919,73.7,75.9,74.6,75.6,76.09,76.26,218290,219670,279850.7279,296454.7948,311181.3,331745.4,43.4408,41.88057,42.21944,6.041032552,9.97030387,9.913456024,11.30777506,440000,446400,450400,454000,460900,466700,471100,474000,478600,482800,487800
