country,continent,year,lifeExp,pop,gdpPercap,gdp,score,status,pol_rights,civ_rights
Afghanistan,Asia,1952,28.801,8425333,779.4453145,6567086329.952229,27,Not Free,13,14
Afghanistan,Asia,1957,30.332,9240934,820.8530296,7585448670.233646,27,Not Free,13,14
Afghanistan,Asia,1962,31.997,10267083,853.10071,8758855796.92893,27,Not Free,13,14
Afghanistan,Asia,1967,34.02,11537966,836.1971382,9648014149.848902,27,Not Free,13,14
Afghanistan,Asia,1972,36.088,13079460,739.9811058,9678553274.066868,27,Not Free,13,14
Afghanistan,Asia,1977,38.438,14880372,786.11336,11697659230.96992,27,Not Free,13,14
Afghanistan,Asia,1982,39.854,12881816,978.0114388,12598563400.516861,27,Not Free,13,14
Afghanistan,Asia,1987,40.822,13867957,852.3959448,11820990309.460773,27,Not Free,13,14
Afghanistan,Asia,1992,41.674,16317921,649.3413952,10595901588.90338,27,Not Free,13,14
Afghanistan,Asia,1997,41.763,22227415,635.341351,14121995875.337666,27,Not Free,13,14
Afghanistan,Asia,2002,42.129,25268405,726.7340548,18363410423.978592,27,Not Free,13,14
Afghanistan,Asia,2007,43.828,31889923,974.5803384,31079291948.889942,27,Not Free,13,14
Albania,Europe,1952,55.23,1282697,1601.056136,2053669902.478792,67,Partly Free,27,40
Albania,Europe,1957,59.28,1476505,1942.284244,2867792397.68722,67,Partly Free,27,40
Albania,Europe,1962,64.82,1728137,2312.888958,3996988985.211246,67,Partly Free,27,40
Albania,Europe,1967,66.22,1984060,2760.196931,5476396322.91986,67,Partly Free,27,40
Albania,Europe,1972,67.69,2263554,3313.422188,7500110047.336152,67,Partly Free,27,40
Albania,Europe,1977,68.93,2509048,3533.00391,8864476394.37768,67,Partly Free,27,40
Albania,Europe,1982,70.42,2780097,3630.880722,10094200602.590034,67,Partly Free,27,40
Albania,Europe,1987,72,3075321,3738.932735,11498418357.532934,67,Partly Free,27,40
Albania,Europe,1992,71.581,3326498,2497.437901,8307722182.800697,67,Partly Free,27,40
Albania,Europe,1997,72.95,3428038,3193.054604,10945912518.586952,67,Partly Free,27,40
Albania,Europe,2002,75.651,3508512,4604.211737,16153932129.805344,67,Partly Free,27,40
Albania,Europe,2007,76.423,3600523,5937.029526,21376411360.0421,67,Partly Free,27,40
Algeria,Africa,1952,43.077,9279525,2449.008185,22725632677.912125,34,Not Free,10,24
Algeria,Africa,1957,45.685,10270856,3013.976023,30956113719.685688,34,Not Free,10,24
Algeria,Africa,1962,48.303,11000948,2550.81688,28061403854.402237,34,Not Free,10,24
Algeria,Africa,1967,51.407,12760499,3246.991771,41433235246.85373,34,Not Free,10,24
Algeria,Africa,1972,54.518,14760787,4182.663766,61739408942.54384,34,Not Free,10,24
Algeria,Africa,1977,58.014,17152804,4910.416756,84227416173.98381,34,Not Free,10,24
Algeria,Africa,1982,61.368,20033753,5745.160213,115097120652.66939,34,Not Free,10,24
Algeria,Africa,1987,65.799,23254956,5681.358539,132119742844.66928,34,Not Free,10,24
Algeria,Africa,1992,67.744,26298373,5023.216647,132102425042.61534,34,Not Free,10,24
Algeria,Africa,1997,69.152,29072015,4797.295051,139467033682.09778,34,Not Free,10,24
Algeria,Africa,2002,70.994,31287142,5288.040382,165447670333.36826,34,Not Free,10,24
Algeria,Africa,2007,72.301,33333216,6223.367465,207444851958.21744,34,Not Free,10,24
Angola,Africa,1952,30.015,4232095,3520.610273,14899557133.311934,32,Not Free,11,21
Angola,Africa,1957,31.999,4561361,3827.940465,17460618347.372864,32,Not Free,11,21
Angola,Africa,1962,34,4826015,4269.276742,20603593596.04313,32,Not Free,11,21
Angola,Africa,1967,35.985,5247469,5522.776375,28980597821.744877,32,Not Free,11,21
Angola,Africa,1972,37.928,5894858,5473.288005,32264255582.578293,32,Not Free,11,21
Angola,Africa,1977,39.483,6162675,3008.647355,18541315838.474625,32,Not Free,11,21
Angola,Africa,1982,39.942,7016384,2756.953672,19343845632.962048,32,Not Free,11,21
Angola,Africa,1987,39.906,7874230,2430.208311,19136019188.72553,32,Not Free,11,21
Angola,Africa,1992,40.647,8735988,2627.845685,22956828370.01178,32,Not Free,11,21
Angola,Africa,1997,40.963,9875024,2277.140884,22486820880.881214,32,Not Free,11,21
Angola,Africa,2002,41.003,10866106,2773.287312,30134833900.64707,32,Not Free,11,21
Angola,Africa,2007,42.731,12420476,4797.231267,59583895818.22309,32,Not Free,11,21
Argentina,Americas,1952,62.485,17876956,5911.315053,105676319104.61867,85,Free,35,50
Argentina,Americas,1957,64.399,19610538,6856.856212,134466639305.96205,85,Free,35,50
Argentina,Americas,1962,65.142,21283783,7133.166023,151820757736.505,85,Free,35,50
Argentina,Americas,1967,65.634,22934225,8052.953021,184688236498.04373,85,Free,35,50
Argentina,Americas,1972,67.065,24779799,9443.038526,233996596623.5363,85,Free,35,50
Argentina,Americas,1977,68.481,26983828,10079.02674,271970723959.5607,85,Free,35,50
Argentina,Americas,1982,69.942,29341374,8997.897412,264010673179.12408,85,Free,35,50
Argentina,Americas,1987,70.774,31620918,9139.671389,289004799538.5151,85,Free,35,50
Argentina,Americas,1992,71.868,33958947,9308.41871,316104097626.69836,85,Free,35,50
Argentina,Americas,1997,73.275,36203463,10967.28195,397053586287.3929,85,Free,35,50
Argentina,Americas,2002,74.34,38331121,8797.640716,337223430799.52264,85,Free,35,50
Argentina,Americas,2007,75.32,40301927,12779.37964,515033625356.5662,85,Free,35,50
Australia,Oceania,1952,69.12,8691212,10039.59564,87256254101.51567,97,Free,40,57
Australia,Oceania,1957,70.33,9712569,10949.64959,106349227168.69672,97,Free,40,57
Australia,Oceania,1962,70.93,10794968,12217.22686,131884573002.44049,97,Free,40,57
Australia,Oceania,1967,71.1,11872264,14526.12465,172457986741.7076,97,Free,40,57
